N,TDT-origin,+Comp,+Update,+both
RN,0.155043364,0.1493,0.13623476,0.071381569
RU,0.192709446,0.16885,0.17204237,0.081177711
M4,0.263829708,0.1615,0.235786676,0.089887857
P4,0.354612827,0.1856,0.333199501,0.100469589
A0,0.460817814,0.338920116,0.253228188,0.186015129
CD,0.603564739,0.464662552,0.305927277,0.199141216
WG,0.944044352,0.826989651,0.526760578,0.376205683
CP,1.199602604,1.049736977,0.602027178,0.424446726
CY,1.480189085,1.349693537,0.671103954,0.533637676
SP,3.972721338,3.598383904,1.651784182,1.232777643
WT,6.745737791,6.304099083,2.56026268,1.976546335